id,name,city_name,district_name
1626,钢铁路百货商场,呼和浩特市,回民区
1627,锦都商场,呼和浩特市,回民区
1672,七彩城购物中心,呼和浩特市,玉泉区
1673,万汇隆商业区,呼和浩特市,玉泉区
1674,凯德广场·诺和木勒,呼和浩特市,玉泉区
1675,呼和浩特万象城,呼和浩特市,玉泉区
1677,汇豪商城,呼和浩特市,玉泉区
1679,秋实璟峯汇广场,呼和浩特市,玉泉区
1680,美珠广场,呼和浩特市,玉泉区
1682,金宇新天地G栋商业,呼和浩特市,玉泉区
1693,维多利摩尔城A座,呼和浩特市,赛罕区
1851,赤峰红山万达广场,赤峰市,红山区
1917,万达广场,通辽市,科尔沁区
1967,万博广场,鄂尔多斯市,东胜区
1968,万家惠G区,鄂尔多斯市,东胜区
1969,万达广场,鄂尔多斯市,东胜区
1970,东兴时代广场,鄂尔多斯市,东胜区
1971,东胜万达广场2期,鄂尔多斯市,东胜区
1972,乐多乐综合商场(吉劳庆北路),鄂尔多斯市,东胜区
1973,北国新天地,鄂尔多斯市,东胜区
1975,卓远时代广场,鄂尔多斯市,东胜区
1976,大兴商业广场(杭锦路),鄂尔多斯市,东胜区
1977,宝如意商城,鄂尔多斯市,东胜区
1978,恒信精恒商业广场,鄂尔多斯市,东胜区
1979,新百大卖场,鄂尔多斯市,东胜区
1980,时达商城,鄂尔多斯市,东胜区
1981,星河COCOCity,鄂尔多斯市,东胜区
1982,每天百货都市,鄂尔多斯市,东胜区
1983,民丰商城,鄂尔多斯市,东胜区
1984,民生广场,鄂尔多斯市,东胜区
1985,温州商城,鄂尔多斯市,东胜区
1986,王府井百货,鄂尔多斯市,东胜区
1987,百联百胜大卖场,鄂尔多斯市,东胜区
1988,盛泰谷商场,鄂尔多斯市,东胜区
1989,赛特商场,鄂尔多斯市,东胜区
2463,吉林欧亚商都综合体,吉林市,丰满区
3005,摩天活力城·2期,长春市,南关区
3017,长春万象城,长春市,南关区
3066,7.8购物广场,长春市,朝阳区
3067,in-GuiLin休闲购物广场,长春市,朝阳区
3068,万达广场,长春市,朝阳区
3071,中商·世界里购物中心,长春市,朝阳区
3072,亚细亚百货,长春市,朝阳区
3073,力旺广场,长春市,朝阳区
3074,卓展购物中心,长春市,朝阳区
3075,卓展购物中心(重庆路店-B座),长春市,朝阳区
3078,欧亚商都,长春市,朝阳区
3084,民生购物中心(崇智路),长春市,朝阳区
3085,活力汇,长春市,朝阳区
3086,繁荣商场,长春市,朝阳区
3087,这有山,长春市,朝阳区
3088,长春国际贸易中心喜事城,长春市,朝阳区
3089,长春小燕莎商场,长春市,朝阳区
3090,长春百货大楼,长春市,朝阳区
3416,万象宜宾天地,宜宾市,叙州区
3453,宜宾万象汇,宜宾市,翠屏区
3545,广元万达广场,广元市,利州区
3652,万达广场,德阳市,旌阳区
3690,CPI,成都市,双流区
3691,万达广场,成都市,双流区
3692,中海右岸环宇坊,成都市,双流区
3693,中海天府环宇坊,成都市,双流区
3694,乐福城市生活广场,成都市,双流区
3695,北京华联(成都购物中心),成都市,双流区
3696,天府和悦广场,成都市,双流区
3697,天府招商花园城,成都市,双流区
3699,成都三利爱琴海购物中心,成都市,双流区
3700,成都双流时代奥特莱斯B区,成都市,双流区
3701,成都天府大悦城,成都市,双流区
3704,成都时代奥特莱斯,成都市,双流区
3705,成都远大购物中心,成都市,双流区
3706,方圆荟,成都市,双流区
3707,星荟天地,成都市,双流区
3708,海滨城购物中心,成都市,双流区
3709,益州国际广场,成都市,双流区
3710,缤纷广场,成都市,双流区
3711,茂业天地,成都市,双流区
3712,金色校园广场,成都市,双流区
3713,韩国城购物中心,成都市,双流区
3767,成都万象城,成都市,成华区
3779,龙湖·滨江天街,成都市,成华区
3812,万达广场,成都市,武侯区
3813,世豪广场,成都市,武侯区
3815,伊藤洋华堂,成都市,武侯区
3817,凯德天府,成都市,武侯区
3818,凯德广场,成都市,武侯区
3819,吾悦广场,成都市,武侯区
3820,尚品广场,成都市,武侯区
3821,悠方购物中心,成都市,武侯区
3822,成都SKP,成都市,武侯区
3823,成都大悦城,成都市,武侯区
3824,成都大魔方招商花园城,成都市,武侯区
3825,成都摩方购物中心,成都市,武侯区
3826,成都来福士广场,成都市,武侯区
3827,成都王府井购物中心,成都市,武侯区
3829,成都银泰城,成都市,武侯区
3830,成都高新招商花园城,成都市,武侯区
3831,此地CyPARK新概念商业公园,成都市,武侯区
