old_mall_name,new_name
龙湖·滨江天街,龙湖·滨江天街
大连罗斯福,大连罗斯福广场
太古里(建设中),太古里(建设中)
南昌T16购物中心,南昌T16购物中心
泰华城新天地,泰华城·新天地
万达广场,万达广场
临沂万象汇,临沂万象汇
江北虹悦城,江北虹悦城
天河领展广场,天河领展广场
成都合生汇,成都合生汇
晋中天美杉杉奥特莱斯,晋中天美杉杉奥特莱斯
金帝·银泰城,金帝·银泰城
常州万象城,常州万象城
桂林高新万达广场,桂林高新万达广场
丽水银泰城,丽水银泰城
金安国际购物广场,金安国际购物广场
红博中央公园,红博中央公园
南宁万象城,南宁万象城
凯德广场·云尚,凯德广场·云尚
长沙星沙永旺梦乐城,长沙星沙永旺梦乐城
邢台北国商城,邢台北国商城
振华商厦(海港路),振华商厦(海港路)
光明大仟里购物中心A区,光明大仟里购物中心A区
龙湖成都时代天街,龙湖成都时代天街
深圳万象天地,深圳万象天地
保定万博广场,保定万博广场
宁波来福士广场,宁波来福士广场
日照万象汇,日照万象汇
潍坊新辰天地,潍坊新辰天地
民发世纪广场,民发世纪广场
苏州大悦城,苏州大悦城
万达广场,万达广场
和谐广场,和谐广场
万悦城,万悦城
金科·爱琴海购物公园,金科·爱琴海购物公园
宁波万象汇,宁波万象汇
赛格国际购物中心,赛格国际购物中心
华贸天地,华贸天地
卓展购物中心B座,卓展购物中心B座
世豪广场,世豪广场
莱山万象汇,莱山万象汇
民盈·国贸城,民盈·国贸城
泉州浦西万达广场,泉州浦西万达广场
海雅缤纷城,海雅缤纷城
宁波阪急,宁波阪急
曲靖麒麟万达广场,曲靖麒麟万达广场
万达广场,万达广场
北国先天下,北国先天下
PA MALL 平安金融中心,PA MALL平安金融中心
中央国际新亚广场,中央国际新亚广场
成都世茂广场,成都世茂广场
沈阳长白万象汇,沈阳长白万象汇
长沙万象城,长沙万象城
正大广场,正大广场
Livat荟聚,Livat荟聚
龙湖成都金楠天街,龙湖成都金楠天街
杭州中心,杭州中心
前海壹方汇,前海壹方汇
万象宜宾天地,万象宜宾天地
万达广场,万达广场
西安大都荟,西安大都荟
荔星中心,荔星中心
中华城,中华城
新海港海口国际免税城,新海港海口国际免税城
丹尼斯大卫天地,丹尼斯大卫天地
CityOn熙地港(郑州)购物中心,CityOn熙地港(郑州)购物中心
南宁安吉万达广场,南宁安吉万达广场
深圳龙岗万达广场,深圳龙岗万达广场
汇悦大融城,汇悦大融城
曼蒂广场,曼蒂广场
南京金陵天地,南京金陵天地
北国先天下,北国先天下
Livat荟聚,Livat荟聚
诺仕达商业广场,诺仕达商业广场
世纪金源购物中心,世纪金源购物中心
揭阳榕城万达广场,揭阳榕城万达广场
国贸购物中心,国贸购物中心
万象城,万象城
保利广场,保利广场
贵阳万象汇,贵阳万象汇
万达广场,万达广场
八佰伴A馆,八佰伴A馆
长沙北辰荟,长沙北辰荟
北京路天河城,北京路天河城
深圳天河城,深圳天河城购物中心
南通CBD大有境A座,南通CBD大有境
海雅缤纷天地,海雅缤纷天地
金鹰国际购物中心(徐州店)-A座,金鹰国际购物中心-A座
星河COCO Park(福田店),星河COCO Park
杭大悦城,杭州大悦城
龙湖苏州相城天街A馆,龙湖苏州相城天街
步步高梅溪商业中心,步步高梅溪新天地
广元利州万达,广元万达广场
清远万达,清远清城万达广场
合肥包河万象汇,包河万象汇
成都天府大悦城A馆,成都天府大悦城
杭州西溪印象城A座,杭州西溪印象城
龙湖济南奥体天街,龙湖济南西城天街
成都悠方广场,成都摩方购物中心
德基广场二期,德基广场一期
摩天活力城MALL,摩天活力城·2期
南京弘阳广场B馆,南京弘阳广场C馆
杭州万象城商场,杭州万象城
