mall_code,name,city_name,district_name,existing_poi,status,candidate_poi_id,candidate_name,score,distance_m,need_review,action,lat,lng
MALL_701034D5,购物中心,金华市,浦江县,B0JDDDXTKX,matched,B0JDDDXTKX,购物中心(浦江时代广场购物中心店),0.0,0.0,True,kept_existing,29.451761,119.891024
MALL_07700FEC,购物中心,孝感市,孝昌县,B0JDXOEHEB,matched,B0JDXOEHEB,购物中心,0.0,0.0,True,kept_existing,31.131546,113.89687
MALL_B1641D71,宜昌吾悦广场-西区,宜昌市,西陵区,B0LGJLS807,matched,B0LGJLS807,宜昌吾悦广场(锦江大道店)-西区,50.0,0.0,True,kept_existing,30.740581,111.333483
MALL_6ECFD8F1,购物中心,恩施土家族苗族自治州,巴东县,B0H0PHFVL2,matched,B0H0PHFVL2,购物中心,0.0,0.0,True,kept_existing,30.615687,110.325808
MALL_12C51384,购物公园,武汉市,江夏区,B0FFHCWOWJ,matched,B0FFHCWOWJ,购物公园,0.0,0.0,True,kept_existing,30.459139,114.409387
MALL_E4B6DE21,奥特莱斯,武汉市,黄陂区,B0FFJLQK8A,matched,B0FFJLQK8A,奥特莱斯(汉口湖畔营业厅中国电信店),0.0,0.0,True,kept_existing,30.729915,114.254198
MALL_6FF48C79,万达广场(建设中),襄阳市,枣阳市,B0HUG5QIQ0,matched,B0HUG5QIQ0,万达广场(枣阳店)(建设中),50.0,0.0,True,kept_existing,32.098178,112.784413
MALL_73CECFB5,购物广场,襄阳市,枣阳市,B0I0BCFBOY,matched,B0I0BCFBOY,购物广场,0.0,0.0,True,kept_existing,32.130071,112.762727
MALL_3CD993F0,驰恒城市展厅(暂停营业),鄂州市,鄂城区,B0HUAS0IF7,matched,B0HUAS0IF7,驰恒城市展厅(驰恒之城朱家垴新居店)(暂停营业),50.0,0.0,True,kept_existing,30.391605,114.914805
MALL_3E571BF9,商业广场,岳阳市,汨罗市,B0FFF3W15K,matched,B0FFF3W15K,商业广场,0.0,0.0,True,kept_existing,29.00089,113.035923
MALL_8D2BC709,购物中心,常德市,武陵区,B0J1VZ6XHI,matched,B0J1VZ6XHI,购物中心,0.0,0.0,True,kept_existing,29.06659,111.696315
MALL_214DE6F8,奥特莱斯,常德市,澧县,B0I6BCSBSD,matched,B0I6BCSBSD,奥特莱斯,0.0,0.0,True,kept_existing,29.865422,111.384876
MALL_D10D642D,购物广场,张家界市,慈利县,B0IDAH27R4,matched,B0IDAH27R4,购物广场,0.0,0.0,True,kept_existing,29.423062,111.133686
MALL_F93BB193,万达广场(暂停营业),株洲市,天元区,B0FFHF192R,matched,B0L6GHEE3C,株洲神农万达广场(暂停营业),72.78,177.5,True,mismatch_review,27.82081,113.120579
MALL_B2DDB316,奥特莱斯,益阳市,赫山区,B0FFGK4TYE,matched,B0FFGK4TYE,奥特莱斯(雄森国际店),0.0,0.0,True,kept_existing,28.571954,112.358034
MALL_205CBE40,芒果时代广场(建设中),邵阳市,双清区,B0IGF5VCN8,matched,B0IGF5VCN8,芒果时代广场(悦海芳成店)(建设中),50.0,0.0,True,kept_existing,27.221885,111.511447
MALL_DA03A045,购物广场,郴州市,临武县,B0JRS68JFT,matched,B0JRS68JFT,购物广场,0.0,0.0,True,kept_existing,25.322796,112.702436
MALL_F80CDE4E,购物中心,张掖市,高台县,B0JGHBS0TV,matched,B0JGHBS0TV,购物中心,0.0,0.0,True,kept_existing,39.382424,99.814162
MALL_948FDDDA,购物广场,甘南藏族自治州,临潭县,B03AD0035A,matched,B03AD0035A,购物广场,0.0,0.0,True,kept_existing,34.686198,103.354156
MALL_BA40ADCD,商业中心,三明市,三元区,B0H02RIQ1N,matched,B0H02RIQ1N,商业中心,0.0,0.0,True,kept_existing,26.242868,117.628095
MALL_0C11B561,万达广场(装修中),三明市,尤溪县,B0I1M5CAQ1,matched,B0I1M5CAQ1,万达广场(尤溪店)(装修中),50.0,0.0,True,kept_existing,26.165867,118.158151
MALL_1F10B418,香港城,泉州市,丰泽区,B0FFLA3P46,matched,B0FFHGD6Y6,香港城购物中心,87.33,213.3,True,mismatch_review,24.937632,118.649314
MALL_DB9BDC78,万达广场(装修中),泉州市,鲤城区,B0JRAHJ17D,matched,B0JRAHJ17D,万达广场(泉州鲤城店)(装修中),50.0,0.0,True,kept_existing,24.932003,118.547219
MALL_FF0ABC4A,商业广场,漳州市,华安县,B0JRVXNKJH,matched,B0JRVXNKJH,商业广场,0.0,0.0,True,kept_existing,25.020947,117.651439
MALL_0DC7BE62,商业中心,福州市,晋安区,B0IBKDGFRM,matched,B0IBKDGFRM,商业中心(蓝海大厦店),0.0,0.0,True,kept_existing,26.130798,119.301634
MALL_1A682613,购物广场,莆田市,涵江区,B0FFGJ6SOU,matched,B0FFGJ6SOU,购物广场,0.0,0.0,True,kept_existing,25.463308,119.117455
MALL_2E0E5453,奥特莱斯,毕节市,七星关区,B0LU4CZLYB,matched,B0LU4CZLYB,奥特莱斯,0.0,0.0,True,kept_existing,27.298251,105.285351
MALL_A10F9110,购物中心,毕节市,赫章县,B0H2RK1ECY,matched,B0H2RK1ECY,购物中心,0.0,0.0,True,kept_existing,26.943657,104.813483
MALL_65A51E5A,购物广场,遵义市,凤冈县,B0JR9NDDH6,matched,B0JR9NDDH6,购物广场,0.0,0.0,True,kept_existing,28.2892,107.746652
MALL_7DEDC586,购物广场,铜仁市,印江土家族苗族自治县,B0I336LY3L,matched,B0I336LY3L,购物广场,0.0,0.0,True,kept_existing,28.041546,108.54938
MALL_9F4CF58C,万象城,铜仁市,玉屏侗族自治县,B0I3FLUSAX,matched,B0I3FLUSAX,万象城(河滨二巷店),0.0,0.0,True,kept_existing,27.238424,108.914515
MALL_52C07D8B,中心城,黔南布依族苗族自治州,福泉市,B0FFI6DJMY,matched,B03560NL5R,中心城商业广场,88.64,108.5,True,mismatch_review,26.695992,107.51593
MALL_2CA68191,商业城,大连市,瓦房店市,B0HKOUKTN9,matched,B0HKOUKTN9,商业城,0.0,0.0,True,kept_existing,39.624175,122.001825
MALL_FFFE2A78,兴隆大家庭(建设中),朝阳市,凌源市,B0FFF4HBQV,matched,B0FFF4HBQV,兴隆大家庭(凌河街店)(建设中),50.0,0.0,True,kept_existing,41.236564,119.399001
