mall_code,name,province_name,city_name,district_name,address,lat,lng,city_tier,city_tier_bucket,mall_lux_segment,mall_price_segment,mall_category,mall_level,brand_score_total,brand_score_luxury,brand_score_light_luxury,opened_year,revenue_bucket_value,revenue_bucket_confidence,revenue_bucket_source_type
MALL_A6BB8E5B,宁波环球银泰城,浙江省,宁波市,鄞州区,天童南路1088号,29.796625,121.545412,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,2013,10-20,medium,news_media
MALL_327B40ED,杭州湖滨银泰in77,浙江省,杭州市,上城区,延安路258号(龙翔桥地铁站C口步行200米),30.25283,120.163749,新一线,top12,轻奢,中高端,shopping_mall,D,5,1,1,UNKNOWN,10-20,medium,model_estimation
MALL_1A61C440,杭州湖滨银泰in77A区,浙江省,杭州市,上城区,东坡路7号,30.25316,120.162484,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,10-20,medium,model_estimation
MALL_E5203A74,杭州湖滨银泰in77C2区,浙江省,杭州市,上城区,延安路258号,30.252216,120.164708,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,10-20,medium,model_estimation
MALL_A3106BF8,杭州湖滨银泰in77C3区,浙江省,杭州市,上城区,延安路258号杭州湖滨银泰in77C1区F3,30.251068,120.164759,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,10-20,medium,model_estimation
MALL_834DB67F,杭州湖滨银泰in77E区,浙江省,杭州市,上城区,延安路与邮电路交叉口西南100米,30.251097,120.163603,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,10-20,medium,model_estimation
MALL_DF8EA97B,银泰百货,浙江省,杭州市,上城区,景昙路18-26号,30.260052,120.205055,新一线,top12,轻奢,中高端,department_store,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_3C2878D9,杭州大厦,浙江省,杭州市,拱墅区,武林广场21号(武林广场地铁站B口步行400米),30.274286,120.160756,新一线,top12,轻奢,中高端,shopping_mall,D,12,1,6,UNKNOWN,10-20,medium,model_estimation
MALL_53E7922A,杭州萧山万象汇,浙江省,杭州市,萧山区,北干街道金城路927号华润万象汇,30.181857,120.269063,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_B9AADE3E,银泰百货,浙江省,杭州市,萧山区,新塘街道通惠南路667号,30.144578,120.286619,新一线,top12,轻奢,中高端,department_store,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_645DECB1,杭州西溪银泰城东区,浙江省,杭州市,西湖区,双龙街588号(浙大紫金港地铁站B1口旁),30.292958,120.07585,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,2015,10-20,medium,model_estimation
MALL_FED0D478,杭州西溪银泰城西区,浙江省,杭州市,西湖区,双龙街588号(浙大紫金港地铁站B1口步行230米),30.293004,120.074295,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,2018,10-20,medium,model_estimation
MALL_A31F2854,银泰百货,浙江省,杭州市,西湖区,珊瑚沙路49号,30.167387,120.102123,新一线,top12,轻奢,中高端,department_store,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_1F042BED,武汉SKP,湖北省,武汉市,武昌区,沙湖大道18号,30.556575,114.338293,新一线,top12,轻奢,高端,shopping_mall,D,2,0,1,UNKNOWN,UNKNOWN,low,unknown
MALL_A853A317,武汉滨江天街,湖北省,武汉市,武昌区,和平大道659号(徐家棚地铁站V口步行3米),30.59063,114.331524,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,2021,10-20,medium,model_estimation
MALL_47EAC7FD,武汉万象城,湖北省,武汉市,江岸区,建设大道668号(取水楼地铁站出入口步行150米),30.599266,114.280583,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_FD0E7206,武汉光谷K11,湖北省,武汉市,洪山区,关山大道355号,30.493326,114.412907,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_DB1322AC,武汉K11购物艺术中心,湖北省,武汉市,硚口区,解放大道634号新世界中心写字楼A座,30.578995,114.265515,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_E96FC95B,武汉K11购物艺术中心I馆,湖北省,武汉市,硚口区,解放大道628号,30.578494,114.263812,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_7E54AC6C,新天地(步行商业街),湖南省,长沙市,天心区,黄兴南路360号(黄兴广场地铁站2号口步行50米),28.187823,112.97666,新一线,top12,轻奢,中高端,lifestyle_center,D,0,0,0,UNKNOWN,10-20,medium,model_estimation
MALL_0B4F0B01,海信广场,湖南省,长沙市,天心区,湘江中路36号,28.189823,112.96982,新一线,top12,轻奢,中高端,shopping_mall,D,12,0,3,UNKNOWN,10-20,medium,model_estimation
MALL_CE8D8308,长沙万象城,湖南省,长沙市,岳麓区,桐梓坡路11号(六沟垅地铁站6号口步行220米),28.218355,112.951013,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,10-20,medium,model_estimation
MALL_901398DD,步步高·新天地,湖南省,长沙市,望城区,东方红路1099号步步高梅溪新天地,28.198356,112.859321,新一线,top12,轻奢,中高端,lifestyle_center,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_5FA3785B,友谊商店B座,湖南省,长沙市,芙蓉区,五一大道368号(袁家岭地铁站4号口步行360米),28.195802,112.997831,新一线,top12,轻奢,中高端,shopping_mall,D,2,0,1,UNKNOWN,UNKNOWN,low,unknown
MALL_58BAF7F2,厦门万象城,福建省,厦门市,思明区,湖滨东路99号(湖滨东路地铁站6号口步行60米),24.47225,118.11101,二线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_5686D616,贵阳万象城,贵州省,贵阳市,南明区,遵义路328号(贵阳火车站地铁站C口步行340米),26.560943,106.703573,二线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_6AF40B99,wooha,辽宁省,沈阳市,大东区,小东路6号大悦城沈阳中街店1F层,41.802203,123.468702,二线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_D8217949,Discovery王府井,陕西省,西安市,碑林区,"南关正街88号(南门外,地铁站永宁门B出口)",34.247194,108.945915,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_7E425A1B,澳堡时代广场,陕西省,西安市,长安区,西长安街555号(西北政法大学南校区对面),34.157727,108.917835,新一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
