mall_code,name,city_name,district_name,existing_poi,status,candidate_poi_id,candidate_name,score,distance_m,need_review,action
MALL_7A38454E,蓝湾天地,上海城区,奉贤区,B0GR35JUCP,matched,B0GR35JUCP,蓝湾天地,90.0,0.0,False,kept_existing
MALL_A21AA4A7,连城商业广场,上海城区,奉贤区,B00157H8SA,matched,B00157H8SA,连城商业广场,90.0,0.0,False,kept_existing
MALL_0CDF50B3,龙湖·上海奉贤天街,上海城区,奉贤区,B0GUJ5P2CZ,matched,B0GUJ5P2CZ,龙湖·上海奉贤天街,90.0,0.0,False,kept_existing
MALL_99060ECB,龙湖·上海金汇天街,上海城区,奉贤区,B0G0ARWNX4,matched,B0G0ARWNX4,龙湖·上海金汇天街,90.0,0.0,False,kept_existing
MALL_CE0CFA54,上坤上街购物中心,上海城区,宝山区,B0FFG95IEJ,matched,B0FFG95IEJ,上坤上街购物中心,90.0,0.0,False,kept_existing
MALL_1CEED684,东方国贸新城,上海城区,宝山区,B0015024F2,matched,B0015024F2,东方国贸新城,90.0,0.0,False,kept_existing
MALL_86BFEFFD,中集美兰湖金地广场A馆,上海城区,宝山区,B0K3OCSG96,matched,B0K3OCSG96,中集美兰湖金地广场A馆,90.0,0.0,False,kept_existing
MALL_67CC4088,九百购物中心,上海城区,宝山区,B0015442B3,matched,B0015442B3,九百购物中心,90.0,0.0,False,kept_existing
MALL_62939CF2,云瑞邻里中心,上海城区,宝山区,B00155MEFX,matched,B00155MEFX,云瑞邻里中心,90.0,0.0,False,kept_existing
MALL_59087BB2,北斗星商业广场,上海城区,宝山区,B0FFGCEUQU,matched,B0FFGCEUQU,北斗星商业广场,90.0,0.0,False,kept_existing
MALL_C31E0899,场北商业广场,上海城区,宝山区,B0FFH186Z4,matched,B0FFH186Z4,场北商业广场,90.0,0.0,False,kept_existing
MALL_272DFD54,宝乐汇印象城,上海城区,宝山区,B001573A26,matched,B001573A26,宝乐汇印象城,90.0,0.0,False,kept_existing
MALL_4B3FB176,宝山花园城,上海城区,宝山区,B0FFLI93PE,matched,B0FFLI93PE,宝山花园城,90.0,0.0,False,kept_existing
MALL_9F66CB84,宝龙广场,上海城区,宝山区,B0FFGG8D12,matched,B0FFGG8D12,宝龙广场,90.0,0.0,False,kept_existing
MALL_72B5CEED,巴黎春天,上海城区,宝山区,B00155MZB0,matched,B00155MZB0,巴黎春天(宝山店),75.0,0.0,False,kept_existing
MALL_B4A15CF8,日月光中心,上海城区,宝山区,B0FFF65Z6M,matched,B0FFF65Z6M,日月光中心(宝山店),75.0,0.0,False,kept_existing
MALL_80B07E33,昊元生活广场,上海城区,宝山区,B0015798HC,matched,B0015798HC,昊元生活广场,90.0,0.0,False,kept_existing
MALL_342BE28E,正大乐城,上海城区,宝山区,B0FFFA25ZX,matched,B0FFFA25ZX,正大乐城(宝山店),75.0,0.0,False,kept_existing
MALL_98FE6E46,海上世界,上海城区,宝山区,B0L2SU5R4Z,matched,B0L2SU5R4Z,海上世界,90.0,0.0,False,kept_existing
MALL_B5F126F5,第一坊,上海城区,宝山区,B0FFFF1EYQ,matched,B0FFFF1EYQ,第一坊,90.0,0.0,False,kept_existing
MALL_A094F94F,红太阳商业广场,上海城区,宝山区,B001573BRE,matched,B001573BRE,红太阳商业广场,90.0,0.0,False,kept_existing
MALL_98D3FC5A,翼生活广场,上海城区,宝山区,B0FFFSFRHD,matched,B0FFFSFRHD,翼生活广场,90.0,0.0,False,kept_existing
MALL_0B5DB768,聚丰购物广场,上海城区,宝山区,B0FFHF1P0V,matched,B0FFHF1P0V,聚丰购物广场,90.0,0.0,False,kept_existing
MALL_09C60C48,龙湖上海宝山天街,上海城区,宝山区,B0G04K53E8,matched,B0G04K53E8,龙湖上海宝山天街,90.0,0.0,False,kept_existing
MALL_83C95135,8壹广场,上海城区,崇明区,B00156PCM7,matched,B00156PCM7,8壹广场,90.0,0.0,False,kept_existing
MALL_A03BC1A5,万达广场,上海城区,崇明区,B0FFL9ES83,matched,B0FFL9ES83,万达广场(上海崇明店),75.0,0.0,False,kept_existing
MALL_EF52FA27,凤凰商城,上海城区,崇明区,B00156R3G5,matched,B00156R3G5,凤凰商城,90.0,0.0,False,kept_existing
MALL_685ABBEA,前卫生活广场,上海城区,崇明区,B0FFK12SCA,matched,B0FFK12SCA,前卫生活广场,90.0,0.0,False,kept_existing
MALL_F669DD84,堡镇商业广场,上海城区,崇明区,B0FFL0XJNB,matched,B0FFL0XJNB,堡镇商业广场,90.0,0.0,False,kept_existing
MALL_4F90B6FA,新风商厦,上海城区,崇明区,B0015022AE,matched,B0015022AE,新风商厦,90.0,0.0,False,kept_existing
MALL_FD6465A9,易家购超市购物广场,上海城区,崇明区,B0G07N0NBW,matched,B0G07N0NBW,易家购超市购物广场,90.0,0.0,False,kept_existing
MALL_BD652B01,Gate M西岸梦中心,上海城区,徐汇区,B0H0OSXDUD,matched,B0H0OSXDUD,Gate M西岸梦中心,90.0,0.0,False,kept_existing
MALL_354D6075,One ITC,上海城区,徐汇区,B0H6KUBJPN,matched,B0H6KUBJPN,One ITC,90.0,0.0,False,kept_existing
MALL_D4415C6D,万商生活广场,上海城区,徐汇区,B0FFHMUE0E,matched,B0FFHMUE0E,万商生活广场(光大店),75.0,0.0,False,kept_existing
MALL_FB477D9A,上海港汇恒隆广场,上海城区,徐汇区,B00155QPSL,matched,B00155QPSL,上海港汇恒隆广场,90.0,0.0,False,kept_existing
MALL_96A66E9B,上海龙华会,上海城区,徐汇区,B0IUO56CFN,matched,B0IUO56CFN,上海龙华会,90.0,0.0,False,kept_existing
MALL_791C2CB8,保利时光里,上海城区,徐汇区,B0FFI123GJ,matched,B0FFI123GJ,保利时光里,90.0,0.0,False,kept_existing
MALL_C20D21E9,徐汇万科广场,上海城区,徐汇区,B0KD7HSTGI,matched,B0KD7HSTGI,徐汇万科广场,90.0,0.0,False,kept_existing
MALL_27CD8CA9,正大乐城,上海城区,徐汇区,B00156ZP87,matched,B00156ZP87,正大乐城,90.0,0.0,False,kept_existing
MALL_3AD5222F,永新坊,上海城区,徐汇区,B0FFHX900S,matched,B0FFHX900S,永新坊(天钥桥路店),75.0,0.0,False,kept_existing
MALL_EF80A369,汇京国际广场,上海城区,徐汇区,B00156LVIV,matched,B00156LVIV,汇京国际广场,90.0,0.0,False,kept_existing
MALL_5944CAC1,汇联商厦,上海城区,徐汇区,B00155L3PH,matched,B00155L3PH,汇联商厦(天钥桥路店),75.0,0.0,False,kept_existing
MALL_EC7F8403,汇金百货,上海城区,徐汇区,B00155G4GK,matched,B00155G4GK,汇金百货,90.0,0.0,False,kept_existing
MALL_78B3F86B,汇阳广场,上海城区,徐汇区,B00156GTHS,matched,B00156GTHS,汇阳广场,90.0,0.0,False,kept_existing
MALL_2B492169,漕河泾印象城,上海城区,徐汇区,B0G3VHE8BE,matched,B0G3VHE8BE,漕河泾印象城,90.0,0.0,False,kept_existing
MALL_1A53517A,环贸iapm商场,上海城区,徐汇区,B00156GS83,matched,B00156GS83,环贸iapm商场,90.0,0.0,False,kept_existing
MALL_EBEF10F0,田尚坊,上海城区,徐汇区,B0FFG4EOBK,matched,B0FFG4EOBK,田尚坊,90.0,0.0,False,kept_existing
MALL_66D1F4B2,百联徐汇商业广场,上海城区,徐汇区,B00156ECCB,matched,B00156ECCB,百联徐汇商业广场,90.0,0.0,False,kept_existing
