省份,城市,区/县,商业项目,待打标记,跳过原因,高德名称,高德城市
湖南,郴州,北湖区,吾悦广场,dji_reported,无高德POI且同城无商场,,
河南,郑州,金水区,IN城广场,dji_target,无高德POI,,
重庆,重庆,渝北区,瑞晶城市谷汇,dji_target,无高德POI,,
安徽,合肥,蜀山区,永旺梦乐城,dji_target,无高德POI,,
