old_id,old_mall_code,old_name,master_id,master_mall_code,master_name,merge_reason
7932,MALL_0F625F72,茂业百货,7931,MALL_19C48C1D,茂业百货,same_name_norm_same_district
7934,MALL_B70D5E5C,茂业百货,7931,MALL_19C48C1D,茂业百货,same_name_norm_same_district
3999,MALL_3FE176FE,茂业百货,3998,MALL_00187C52,茂业天地,same_name_norm_same_district
9842,MALL_66DCD603,虹桥百货,9841,MALL_E788A7A7,虹桥广场,same_name_norm_same_district
24781,MALL_903A9634,诚信购物广场,24780,MALL_E50F14B7,诚信购物广场,same_name_norm_same_district
27484,MALL_66AEBABB,贵阳浙江商城A区,27483,MALL_A6888C4D,贵阳浙江商城A区,same_name_norm_same_district
8368,MALL_8E805B59,贵隆商场,8367,MALL_3691EAD3,贵隆商场,same_name_norm_same_district
26523,MALL_A7062D92,超前购物广场,26522,MALL_D43EA6DA,超前购物广场,same_name_norm_same_district
1192,MALL_ADC1FA2C,超越购物广场,1191,MALL_17357629,超越购物中心,same_name_norm_same_district
23001,MALL_5F5391A0,通城服务区购物中心,23000,MALL_CD1C8AD4,通城服务区购物中心,same_name_norm_same_district
25070,MALL_6DD245B4,邵阳县百货大楼,25069,MALL_ED0E348A,邵阳县百货大楼,same_name_norm_same_district
25071,MALL_EE748653,邵阳县百货大楼,25069,MALL_ED0E348A,邵阳县百货大楼,same_name_norm_same_district
25072,MALL_1099360E,邵阳县百货大楼,25069,MALL_ED0E348A,邵阳县百货大楼,same_name_norm_same_district
25073,MALL_A0AAB209,邵阳县百货大楼,25069,MALL_ED0E348A,邵阳县百货大楼,same_name_norm_same_district
26856,MALL_D5A84C68,金利莱斯购物广场,26855,MALL_41821D80,金利莱斯购物广场,same_name_norm_same_district
2905,MALL_243172D4,金夫人商场,2904,MALL_EC13D2D1,金夫人商场,same_name_norm_same_district
8769,MALL_43E6656C,金山购物广场,8768,MALL_0391F2FA,金山购物广场,same_name_norm_same_district
23899,MALL_B7819FF8,金座购物广场,23898,MALL_443136FB,金座,same_name_norm_same_district
8719,MALL_6C0F2EE6,金润福购物中心,8718,MALL_660216D8,金润福购物中心,same_name_norm_same_district
18790,MALL_7403AF75,金源购物中心,18789,MALL_3E1B9467,金源购物中心,same_name_norm_same_district
18791,MALL_C926FDEA,金源购物中心,18789,MALL_3E1B9467,金源购物中心,same_name_norm_same_district
14637,MALL_47EADD00,金源温泉生活广场,14636,MALL_9CCE41E9,金源温泉生活广场,same_name_norm_same_district
26096,MALL_A8A87BF5,金龙商场,26095,MALL_5DB9F9A8,金龙商场,same_name_norm_same_district
26098,MALL_E38517EA,金龙商场,26095,MALL_5DB9F9A8,金龙商场,same_name_norm_same_district
15713,MALL_65E6C751,铭基商贸城B5区,15712,MALL_058C7E9C,铭基商贸城B5区,same_name_norm_same_district
7468,MALL_53C57851,银座商城,7467,MALL_2056D881,银座商城,same_name_norm_same_district
7469,MALL_A2A0C448,银座商城,7467,MALL_2056D881,银座商城,same_name_norm_same_district
7470,MALL_13102B3C,银座购物广场,7467,MALL_2056D881,银座商城,same_name_norm_same_district
7471,MALL_87CBCB6F,银座购物广场,7467,MALL_2056D881,银座商城,same_name_norm_same_district
