mall_code,name,city_name,district_name,lat,lng,amap_poi_id,brand_count,store_count,search_query_dev,search_query_opened
MALL_92C1CDA0,重百商场,重庆郊县,忠县,30.290939,108.036513,B0L3C9KEQX,2,4,重庆郊县重百商场 开发商,重庆郊县重百商场 开业时间
MALL_53630FAD,近铁城市广场,上海城区,普陀区,31.232492,121.3817,B00156F486,2,3,上海城区近铁城市广场 开发商,上海城区近铁城市广场 开业时间
MALL_DE235F7F,MOHO,上海城区,静安区,31.237478,121.448417,B0HDC9KZTB,2,3,上海城区MOHO 开发商,上海城区MOHO 开业时间
MALL_0EC7AAAB,金格百货,昆明市,盘龙区,25.062468,102.724099,B0367087NM,2,3,昆明市金格百货 开发商,昆明市金格百货 开业时间
MALL_330DDA6C,万人商厦,乌兰察布市,卓资县,40.902993,112.564519,B01DA14I3B,2,3,乌兰察布市万人商厦 开发商,乌兰察布市万人商厦 开业时间
MALL_EBFA2565,上海城,赤峰市,松山区,42.251952,118.890334,B01DC15O95,2,3,赤峰市上海城 开发商,赤峰市上海城 开业时间
MALL_094754FE,每天百货都市,鄂尔多斯市,东胜区,39.81756,110.004878,B01DD005JU,2,3,鄂尔多斯市每天百货都市 开发商,鄂尔多斯市每天百货都市 开业时间
MALL_9DABA6F8,鑫海韵通大卖场,北京城区,平谷区,40.154285,117.123726,B000A8X6JH,2,3,北京城区鑫海韵通大卖场 开发商,北京城区鑫海韵通大卖场 开业时间
MALL_4AEEA5F7,西单商场,北京城区,昌平区,40.066117,116.414413,B000A7XDCE,2,3,北京城区西单商场 开发商,北京城区西单商场 开业时间
MALL_2CC45047,百尚生活广场,北京城区,通州区,39.753013,116.544945,B0FFG72KQY,2,3,北京城区百尚生活广场 开发商,北京城区百尚生活广场 开业时间
MALL_1277B085,阳光新生活广场,北京城区,通州区,39.889718,116.656336,B000A8WEF5,2,3,北京城区阳光新生活广场 开发商,北京城区阳光新生活广场 开业时间
MALL_B72090EB,国商百货,四平市,双辽市,43.518894,123.48721,B0FFFFY9M9,2,3,四平市国商百货 开发商,四平市国商百货 开业时间
MALL_1E91865D,海悦广场,银川市,金凤区,38.461737,106.247324,B0HKPS92Z9,2,3,银川市海悦广场 开发商,银川市海悦广场 开业时间
MALL_9D7B4BC5,鲁商广场,济南市,历下区,36.646756,117.014795,B0JD151WC8,2,3,济南市鲁商广场 开发商,济南市鲁商广场 开业时间
MALL_F6FE625A,兰花城,晋城市,城区,35.498738,112.839706,B0FFJCX4T2,2,3,晋城市兰花城 开发商,晋城市兰花城 开业时间
MALL_DEE10A22,凯德世家广场,长治市,上党区,36.057818,113.058007,B0G21RA8MR,2,3,长治市凯德世家广场 开发商,长治市凯德世家广场 开业时间
MALL_0CCB20CB,碧乐时光,佛山市,顺德区,22.9223,113.268438,B0FFGZ09G8,2,3,佛山市碧乐时光 开发商,佛山市碧乐时光 开业时间
MALL_D376E0E6,万和百货,广州市,从化区,23.544795,113.596164,B00140B8G7,2,3,广州市万和百货 开发商,广州市万和百货 开业时间
MALL_D4B68B46,信和广场,广州市,海珠区,23.08954,113.274818,B00140BO2B,2,3,广州市信和广场 开发商,广州市信和广场 开业时间
MALL_ED99FE48,白云汇广场,广州市,白云区,23.202509,113.268988,B0FFG6RQV5,2,3,广州市白云汇广场 开发商,广州市白云汇广场 开业时间
MALL_ECA3D186,欧洲城,深圳市,南山区,22.55721,113.965459,B02F38NU68,2,3,深圳市欧洲城 开发商,深圳市欧洲城 开业时间
MALL_ED93575A,星河COCO City,深圳市,龙华区,22.602886,114.04669,B0FFFQ1HT3,2,3,深圳市星河COCO City 开发商,深圳市星河COCO City 开业时间
MALL_0DBAF79D,五星广场,石河子市,北泉镇,44.304472,86.039934,B0FFF4FQQW,2,3,石河子市五星广场 开发商,石河子市五星广场 开业时间
MALL_EED96D71,德润广场,盐城市,东台市,32.862141,120.319078,B020316Y88,2,3,盐城市德润广场 开发商,盐城市德润广场 开业时间
MALL_F1E46FB2,天洋广场,廊坊市,三河市,39.965075,116.821071,B0FFFDH245,2,3,廊坊市天洋广场 开发商,廊坊市天洋广场 开业时间
MALL_E194F63E,燕都广场,张家口市,怀来县,40.405894,115.518352,B013902KB9,2,3,张家口市燕都广场 开发商,张家口市燕都广场 开业时间
MALL_DB866488,兴龙广缘,秦皇岛市,卢龙县,39.900377,118.891127,B0HD6CCDUR,2,3,秦皇岛市兴龙广缘 开发商,秦皇岛市兴龙广缘 开业时间
MALL_3EACAF0A,冠兴商厦,邢台市,新河县,37.527484,115.250705,B0FFJYZEIS,2,3,邢台市冠兴商厦 开发商,邢台市冠兴商厦 开业时间
MALL_43DFB93D,梦乐城,三门峡市,陕州区,34.763408,111.155051,B0J6VZ898S,2,3,三门峡市梦乐城 开发商,三门峡市梦乐城 开业时间
MALL_6505FA0B,天空之城,新乡市,获嘉县,35.259675,113.655075,B0H2A77QIU,2,3,新乡市天空之城 开发商,新乡市天空之城 开业时间
MALL_A84910E9,金黄商厦,宁波市,慈溪市,30.170805,121.243356,B023E05P0M,2,3,宁波市金黄商厦 开发商,宁波市金黄商厦 开业时间
MALL_E9B65361,九宜城,杭州市,滨江区,30.212732,120.215311,B0FFIUU4II,2,3,杭州市九宜城 开发商,杭州市九宜城 开业时间
MALL_DE919C74,星光城,杭州市,西湖区,30.277361,120.121215,B0FFKQBYXM,2,3,杭州市星光城 开发商,杭州市星光城 开业时间
MALL_7CDCC441,HAGE,六盘水市,钟山区,26.583158,104.86239,B0G149FNL1,2,3,六盘水市HAGE 开发商,六盘水市HAGE 开业时间
MALL_9FB80FCA,嘉莲华国际商业广场,上海城区,嘉定区,31.260727,121.345227,B00155QYS7,2,2,上海城区嘉莲华国际商业广场 开发商,上海城区嘉莲华国际商业广场 开业时间
MALL_342BE28E,正大乐城,上海城区,宝山区,31.345256,121.371053,B0FFFA25ZX,2,2,上海城区正大乐城 开发商,上海城区正大乐城 开业时间
MALL_A094F94F,红太阳商业广场,上海城区,宝山区,31.337198,121.445787,B001573BRE,2,2,上海城区红太阳商业广场 开发商,上海城区红太阳商业广场 开业时间
MALL_96A66E9B,上海龙华会,上海城区,徐汇区,31.173657,121.453425,B0IUO56CFN,2,2,上海城区上海龙华会 开发商,上海城区上海龙华会 开业时间
