mall_id,mall_name,original_name,mall_lat,mall_lng,amap_poi_id,city,source,store_count,dji_reported,dji_exclusive,dji_target,dji_opened,insta_opened,province
MALL_00292,杭州临平银泰城,杭州临平银泰城,30.404516,120.302144,,杭州市,memory,1,1,0,0,1,0,浙江省
MALL_00293,步步高·星城天地,步步高·星城天地,28.111786,113.017148,,长沙市,memory,2,0,0,0,1,1,湖南省
MALL_00295,武汉江宸天街,武汉江宸天街,30.606632,114.261349,,武汉市,memory,1,0,0,0,1,0,湖北省
MALL_00296,杭州亚奥万象天地,杭州亚奥万象天地,30.255991,120.247543,,杭州市,memory,2,0,0,0,1,1,浙江省
MALL_00297,成都IFS,成都IFS,30.654802,104.081504,,成都市,memory,0,0,0,0,1,0,四川省
MALL_00298,万达广场(石家庄裕华店),万达广场(石家庄裕华店),38.023964,114.544882,,石家庄市,memory,1,0,0,1,1,0,河北省
MALL_00299,汕头万象城,汕头万象城,23.363063,116.717382,,汕头市,memory,1,0,0,0,1,0,广东省
MALL_00300,深圳湾万象城,深圳湾万象城,22.514854,113.943912,,深圳市,memory,1,0,1,0,1,0,广东省
MALL_00301,泉舜购物,泉舜购物,34.612913,112.454476,,洛阳市,memory,1,0,0,0,1,0,河南省
MALL_00302,龙湖重庆北城天街,龙湖重庆北城天街,29.577961,106.533698,,重庆市,memory,1,0,0,0,1,0,重庆市
MALL_00303,胖东来天使城,胖东来天使城,34.03593,113.846681,,许昌市,memory,1,0,0,0,1,0,河南省
MALL_00304,杭州湖滨银泰in77,杭州湖滨银泰in77,30.25283,120.163749,,杭州市,memory,2,0,0,0,1,1,浙江省
MALL_00305,淄博万象汇,淄博万象汇,36.802119,118.061399,,淄博市,memory,1,0,0,0,1,0,山东省
MALL_00308,广州番禺 k11,广州番禺 k11,23.003803,113.348861,,广州市,store_coordinate,1,0,1,0,1,0,广东省
MALL_00309,新世纪中心,新世纪中心,36.611063,114.495271,,邯郸市,memory,1,0,0,0,1,0,河北省
MALL_00310,爱琴海购物中心,爱琴海购物中心,39.632931,118.165329,,唐山市,memory,1,0,0,0,1,0,河北省
MALL_00311,融创茂,融创茂,35.905298,120.101271,B0FFKBRZA7,青岛市,api,1,0,0,0,1,0,山东省
MALL_00312,温州滨江万象城,温州滨江万象城,28.017331,120.71029,B0JGVS6QQU,温州市,memory,2,0,0,0,1,1,浙江省
MALL_00313,鲁能购物中心,鲁能购物中心,39.095196,117.17605,,天津市,memory,1,1,0,1,1,0,天津市
MALL_00314,泰州万象城,泰州万象城,32.441969,119.922947,,泰州市,memory,2,0,0,0,1,1,江苏省
MALL_00315,深圳天河城,深圳天河城,22.577518,114.134599,,深圳市,memory,1,0,0,1,1,0,广东省
MALL_00316,泰安万达广场,泰安万达广场,36.181292,117.08786,,泰安市,memory,1,0,0,0,1,0,山东省
MALL_00317,中海寰宇天地(千灯湖环宇城店),千灯湖环宇城,23.043588,113.156846,B0G3ZMOU4M,佛山市,api,1,0,1,0,1,0,广东省
MALL_00318,上海松江印象城,上海松江印象城,31.061189,121.222769,,上海市,memory,1,0,0,0,1,0,上海市
MALL_00319,永旺梦乐城(武汉金银潭店),永旺梦乐城(武汉金银潭店),30.650288,114.237878,,武汉市,memory,1,1,0,1,1,0,湖北省
MALL_00320,扬州万象汇,扬州万象汇,32.395034,119.425848,,扬州市,memory,2,0,0,0,1,1,江苏省
MALL_00321,惠州大亚湾万达广场,惠州大亚湾万达广场,22.755273,114.47992,,惠州市,memory,1,0,1,0,1,0,广东省
MALL_00322,万达广场(昆明西山店),万达广场(昆明西山店),25.007837,102.709842,,昆明市,memory,1,0,0,1,1,0,云南省
MALL_00323,龙湖·上海奉贤天街,龙湖·上海奉贤天街,30.91314,121.497609,,上海市,memory,1,0,1,1,1,0,上海市
MALL_00324,万达广场(平顶山卫东店),万达广场(平顶山卫东店),33.733846,113.329296,,平顶山市,memory,1,1,0,0,1,0,河南省
MALL_00325,上海ifc商场,上海ifc商场,31.236165,121.502326,,上海市,memory,1,0,1,0,1,0,上海市
MALL_00326,丹尼斯·大卫城,丹尼斯·大卫城,34.757768,113.665886,,郑州市,memory,2,0,0,0,1,1,河南省
MALL_00327,深圳万象食家,深圳万象食家,22.561698,114.110613,,深圳市,memory,1,0,1,0,1,0,广东省
MALL_00328,龙湖·苏州狮山天街,龙湖·苏州狮山天街,31.294375,120.556139,,苏州市,memory,1,0,1,0,1,0,江苏省
