brand,store_id,store,address,city,mall_id,mall,distance_m,store_to_amap_store,store_to_amap_mall,amap_store_to_amap_mall,amap_mall_name,amap_mall_addr,amap_mall_lat,amap_mall_lng,amap_store_name,amap_store_addr,amap_store_lat,amap_store_lng
DJI,4e9a30f9-a61f-4067-a0cb-e48343c41deb,九江快乐城授权体验店,江西省九江市浔阳区京九路九江快乐城1F-020-02,九江市,MALL_00361,九江·联盛快乐城,4246.800545396155,4196.152774704558,,,,,,,DJI大疆(九江快乐城授权体验店),京九路九江联盛快乐城1F-020-02,29.702031,115.971247
DJI,1d01fc98-5e87-4473-8cbf-8f96f3ae765e,曲靖万达授权体验店,云南省曲靖开发区翠峰路83号万达广场【1A】层【1A016】号,曲靖市,MALL_00012,曲靖麒麟万达广场,4096.1847440851525,4001.0924858249687,4096.1847440851525,103.77807526548311,曲靖麒麟万达广场,学府路361号,25.519727,103.756699,DJI大疆(曲靖万达广场授权体验店),曲靖开发区翠峰路83号万达广场层(1A016)号(1号门旁),25.519387,103.757661
Insta360,896b1bcc-98c5-416c-8a2b-ae4f148f5ced,影石Insta360商丘正弘汇授权体验店,河南省商丘市梁园区前进街道神火大道正弘汇一楼L155号,商丘市,MALL_00230,UDV 河南商丘正弘汇,4057.8261311353253,,,,,,,,,,,
DJI,c6d6b254-976d-4122-b478-a99c98bd7ae0,南宁宜家荟聚授权体验店,广西壮族自治区南宁市良庆区平乐大道12号宜家荟聚一楼A03,南宁市,MALL_00126,南宁荟聚(南宁商场宜家家居店),4034.316747768748,,,,,,,,,,,
DJI,7987996a-5469-455a-a653-daaf1f0971ee,常州天宁吾悦授权体验店,江苏省常州市天宁区东方西路名山路交叉口天宁吾悦1F-1062,常州市,MALL_00430,吾悦广场(常州天宁店),3864.9660495029,3889.410597124374,3864.9660495029,45.26634341634446,吾悦广场(常州天宁店),东方西路名山路交叉口南侧商业综合体,31.764664,120.009543,vivo官方授权体验店(常州天宁吾悦店),天宁街道东方西路与名山路交汇处吾悦广场1楼1063号vivo体验店,31.764941,120.009894
DJI,7cc1c1fe-a86a-4a2c-9619-f48b5dc5b56f,佛山映月湖环宇城授权体验店,广东省佛山市南海区桂澜中路18号中海环宇城F1-L125DJI大疆,佛山市,MALL_00317,映月湖环宇城,3285.730711830859,,3285.730711830859,,映月湖环宇城,桂城街道石龙南路6号南海环宇城,23.033128,113.187694,,,,
DJI,830754c8-df23-4da6-b2ac-18c0bd811702,临沂万象汇授权体验店,山东省临沂市兰山区银雀山街道沂蒙路159号临沂万象汇L146号大疆DJI,临沂市,MALL_00112,临沂万象汇,3199.1945888276387,,,,,,,,,,,
DJI,0f0dce6b-94aa-414c-b380-4063e6345472,武汉金银潭永旺梦乐城授权体验店,湖北省武汉市东西湖区金银潭大道1号永旺梦乐城一层134铺位,武汉市,MALL_00319,永旺梦乐城(武汉金银潭店),2800.2478560875593,2869.310684760624,,,,,,,DJI大疆(武汉金银潭永旺梦乐城授权体验店),金银潭大道1号永旺梦乐城1层134,30.650267,114.237111
Insta360,46773cec-edc3-41a6-b99a-69eec17218d4,影石Insta360广州番禺天河城授权体验店,汉溪大道东366号,广州市,MALL_00436,番禺天河城,2570.7532435228914,2538.916636970683,2570.7532435228914,82.85561288271262,番禺天河城,汉溪大道东366号(南村万博地铁站B口步行100米),23.003447,113.348532,影石Insta360广州番禺天河城店,汉溪大道东366号番禺天河城A区1FMac旁,23.003884,113.347876
DJI,36b38dd0-2a4f-4949-a85f-4a596acb3381,宜兴八佰伴授权体验店,江苏省无锡市宜兴市解放东路288号L1013,无锡市,MALL_00226,宜兴八佰伴,2558.737365081091,,,,,,,,,,,
DJI,ce45aca0-23d0-4cde-a650-449e5f413e5f,南阳万悦城授权体验店,河南省南阳市宛城区南都路与范蠡路万悦城一楼L133大疆,南阳市,MALL_00064,万悦城,2545.9335144297434,2545.9335144297434,,,,,,,DJI大疆(南阳万悦城授权体验店),南都路儒林文化苑东侧约80米万悦城1F-L133,33.012906,112.58051
DJI,69935c83-0d2c-4935-8ffd-51ce937b0597,东莞松山湖万象汇授权体验店,广东省东莞市松山湖万象汇一楼L114大疆DJI,东莞市,MALL_00291,东莞松山湖万象汇,2522.5402092674376,2475.582637985148,2522.5402092674376,71.13737274646448,东莞松山湖万象汇,[],22.956931,113.896049,DJI大疆(东莞松山湖万象汇授权体验店),松山湖万象汇一层L114,22.956393,113.896428
DJI,661bea0d-886b-49f0-9ef2-1c5531fcb6fc,长沙梅溪湖步步高授权体验店,湖南省长沙市岳麓区枫林三路1F-G12-1-G11铺,长沙市,MALL_00136,步步高梅溪商业中心,2403.5609035616744,,,,,,,,,,,
DJI,cb916afd-2aae-4f49-9722-3f137eaefdf2,重庆礼嘉天街授权体验店,重庆市渝北区礼慈路14-15号礼嘉天街A馆2F-32号,重庆市,MALL_00512,龙湖重庆礼嘉天街,2300.931529370334,,,,,,,,,,,
DJI,52474b93-3bc6-40f5-aecb-174543fa6ff5,石家庄北国商城授权体验店,河北省石家庄市桥西区建设南大街中山东路188号北国商城二期1楼L175,石家庄市,MALL_00272,北国商城,2273.76412878251,2242.6192809268323,2273.76412878251,33.58731624544287,北国商城,中山东路188号,38.042399,114.510164,DJI大疆(石家庄北国商城授权体验店),建设南大街中山东路188号北国商城二期1楼中厅旁L175号,38.042097,114.51014
DJI,0acbf699-b716-46c5-8420-94e4b2ca71fc,江西抚州硕果时代授权体验店,江西省抚州市临川区金巢大道777号硕果时代L1层1042号,抚州市,MALL_00258,硕果时代购物中心,2222.9692402171013,,,,,,,,,,,
DJI,772ea1d7-e797-4c8d-bbb7-431d6001a3ef,西安DT51授权体验店,西安市雁塔区高新区唐延路69号西安DT51商场D1011,西安市,MALL_00369,西安DT51,2164.3531231494244,,,,,,,,,,,
