mall_code,name,existing_poi,candidate_poi,chosen_poi,existing_dist_m,candidate_dist_m,reason
MALL_0D587FC0,购物中心,B0HDVMXW81,B0HDVMXW81,B0HDVMXW81,0.0,0.0,switched_better_distance
MALL_2A2BB78B,购物中心,B0HKC40U6Z,B0HKC40U6Z,B0HKC40U6Z,0.0,0.0,switched_better_distance
MALL_583ECDDC,购物广场,B0IAJDX9EP,B0IAJDX9EP,B0IAJDX9EP,0.0,0.0,switched_better_distance
MALL_F7A47FD5,购物广场,B0HKCS8I5N,B0HKCS8I5N,B0HKCS8I5N,0.0,0.0,switched_better_distance
MALL_5CEF4B14,购物中心,B0JBFU39OO,B0JBFU39OO,B0JBFU39OO,0.0,0.0,switched_better_distance
MALL_48506A68,奥特莱斯,B0HDDHA9S8,B0HDDHA9S8,B0HDDHA9S8,0.0,0.0,switched_better_distance
MALL_6C2E3244,耀达百货,B0FFLG12ZQ,B0FFHUICRM,B0FFHUICRM,0.0,281.9344221510875,switched_better_distance
MALL_AEA17DF4,银泰百货-南区,B0LR2P4KXO,B0LR2P4KXO,B0LR2P4KXO,0.0,0.0,switched_better_distance
MALL_B36F98BB,购物中心,B0HU19BZG8,B0HU19BZG8,B0HU19BZG8,0.0,0.0,switched_better_distance
MALL_99727477,奥特莱斯,B0FFI23WH3,B0FFI23WH3,B0FFI23WH3,0.0,0.0,switched_better_distance
MALL_CFFD041E,购物中心,B0J1N9KTNZ,B0J1N9KTNZ,B0J1N9KTNZ,0.0,0.0,switched_better_distance
MALL_EC60C076,万达广场(建设中),B0G13Z31XU,B0G13Z31XU,B0G13Z31XU,0.0,0.0,switched_better_distance
MALL_DCD69505,银泰百货(建设中),B0LBA7IUHR,B0LBA7IUHR,B0LBA7IUHR,0.0,0.0,switched_better_distance
MALL_171B4BBC,购物中心,B0HK3RWDA2,B0HK3RWDA2,B0HK3RWDA2,0.0,0.0,switched_better_distance
MALL_8F957F02,奥特莱斯,B0I6BSLLTX,B0I6BSLLTX,B0I6BSLLTX,0.0,0.0,switched_better_distance
MALL_701034D5,购物中心,B0JDDDXTKX,B0JDDDXTKX,B0JDDDXTKX,0.0,0.0,switched_better_distance
MALL_07700FEC,购物中心,B0JDXOEHEB,B0JDXOEHEB,B0JDXOEHEB,0.0,0.0,switched_better_distance
MALL_B1641D71,宜昌吾悦广场-西区,B0LGJLS807,B0LGJLS807,B0LGJLS807,0.0,0.0,switched_better_distance
MALL_6ECFD8F1,购物中心,B0H0PHFVL2,B0H0PHFVL2,B0H0PHFVL2,0.0,0.0,switched_better_distance
MALL_12C51384,购物公园,B0FFHCWOWJ,B0FFHCWOWJ,B0FFHCWOWJ,0.0,0.0,switched_better_distance
MALL_E4B6DE21,奥特莱斯,B0FFJLQK8A,B0FFJLQK8A,B0FFJLQK8A,0.0,0.0,switched_better_distance
MALL_6FF48C79,万达广场(建设中),B0HUG5QIQ0,B0HUG5QIQ0,B0HUG5QIQ0,0.0,0.0,switched_better_distance
MALL_73CECFB5,购物广场,B0I0BCFBOY,B0I0BCFBOY,B0I0BCFBOY,0.0,0.0,switched_better_distance
MALL_3CD993F0,驰恒城市展厅(暂停营业),B0HUAS0IF7,B0HUAS0IF7,B0HUAS0IF7,0.0,0.0,switched_better_distance
MALL_3E571BF9,商业广场,B0FFF3W15K,B0FFF3W15K,B0FFF3W15K,0.0,0.0,switched_better_distance
MALL_8D2BC709,购物中心,B0J1VZ6XHI,B0J1VZ6XHI,B0J1VZ6XHI,0.0,0.0,switched_better_distance
MALL_214DE6F8,奥特莱斯,B0I6BCSBSD,B0I6BCSBSD,B0I6BCSBSD,0.0,0.0,switched_better_distance
MALL_D10D642D,购物广场,B0IDAH27R4,B0IDAH27R4,B0IDAH27R4,0.0,0.0,switched_better_distance
MALL_F93BB193,万达广场(暂停营业),B0FFHF192R,B0L6GHEE3C,B0L6GHEE3C,0.0,177.52969781036728,switched_better_distance
MALL_B2DDB316,奥特莱斯,B0FFGK4TYE,B0FFGK4TYE,B0FFGK4TYE,0.0,0.0,switched_better_distance
MALL_205CBE40,芒果时代广场(建设中),B0IGF5VCN8,B0IGF5VCN8,B0IGF5VCN8,0.0,0.0,switched_better_distance
MALL_DA03A045,购物广场,B0JRS68JFT,B0JRS68JFT,B0JRS68JFT,0.0,0.0,switched_better_distance
MALL_F80CDE4E,购物中心,B0JGHBS0TV,B0JGHBS0TV,B0JGHBS0TV,0.0,0.0,switched_better_distance
MALL_948FDDDA,购物广场,B03AD0035A,B03AD0035A,B03AD0035A,0.0,0.0,switched_better_distance
MALL_BA40ADCD,商业中心,B0H02RIQ1N,B0H02RIQ1N,B0H02RIQ1N,0.0,0.0,switched_better_distance
MALL_0C11B561,万达广场(装修中),B0I1M5CAQ1,B0I1M5CAQ1,B0I1M5CAQ1,0.0,0.0,switched_better_distance
MALL_1F10B418,香港城,B0FFLA3P46,B0FFHGD6Y6,B0FFHGD6Y6,0.0,213.27167380294588,switched_better_distance
MALL_DB9BDC78,万达广场(装修中),B0JRAHJ17D,B0JRAHJ17D,B0JRAHJ17D,0.0,0.0,switched_better_distance
MALL_FF0ABC4A,商业广场,B0JRVXNKJH,B0JRVXNKJH,B0JRVXNKJH,0.0,0.0,switched_better_distance
MALL_0DC7BE62,商业中心,B0IBKDGFRM,B0IBKDGFRM,B0IBKDGFRM,0.0,0.0,switched_better_distance
