province_name,city_name,city_code,id
云南省,昆明市,530100,316
四川省,成都市,510100,286
安徽省,合肥市,340100,129
山东省,济南市,370100,165
山东省,青岛市,370200,166
广东省,东莞市,441900,246
广东省,佛山市,440600,235
广东省,广州市,440100,230
广东省,深圳市,440300,232
广西壮族自治区,南宁市,450100,251
江苏省,南京市,320100,105
江苏省,无锡市,320200,106
江苏省,苏州市,320500,109
江西省,南昌市,360100,154
河南省,郑州市,410100,181
浙江省,宁波市,330200,119
浙江省,杭州市,330100,118
湖北省,武汉市,420100,199
湖南省,长沙市,430100,216
福建省,厦门市,350200,146
福建省,福州市,350100,145
贵州省,贵阳市,520100,307
辽宁省,沈阳市,210100,68
陕西省,西安市,610100,339
